"Expiry","Texp","Strike","Bid","Ask","Fwd","CallMid"
2025-04-07,0.004,2200,NA,3.79116242008264,5071.67779511723,NA
2025-04-07,0.004,2400,NA,3.41127109625854,5071.67779511723,NA
2025-04-07,0.004,2600,NA,3.06138165120164,5071.67779511723,NA
2025-04-07,0.004,2800,NA,2.73682028608151,5071.67779511723,NA
2025-04-07,0.004,3000,NA,2.43387219452706,5071.67779511723,NA
2025-04-07,0.004,3200,2.149523914128,2.26235466514943,5071.67779511723,1871.75237957459
2025-04-07,0.004,3400,1.9814000593107,2.09685705384517,5071.67779511723,1671.82696403194
2025-04-07,0.004,3600,1.8838457010945,1.93557586041486,5071.67779511723,1472.02585591817
2025-04-07,0.004,3800,1.80000575900536,1.82155747651443,5071.67779511723,1272.6225315768
2025-04-07,0.004,4000,1.68201598718175,1.6924202637268,5071.67779511723,1073.86560586572
2025-04-07,0.004,4200,1.53769976926291,1.54875803157931,5071.67779511723,876.252308501218
2025-04-07,0.004,4300,1.43501636980925,1.46074608289736,5071.67779511723,777.743997647221
2025-04-07,0.004,4400,1.34025559776566,1.36350257396312,5071.67779511723,679.782639482924
2025-04-07,0.004,4500,1.23410152709437,1.25247597244759,5071.67779511723,582.169342116267
2025-04-07,0.004,4600,1.1235437663141,1.14009679966095,5071.67779511723,485.401335265559
2025-04-07,0.004,4650,1.06441099314747,1.07733500075311,5071.67779511723,437.241085215598
2025-04-07,0.004,4700,1.00508988501942,1.01819997480448,5071.67779511723,389.578064875677
2025-04-07,0.004,4750,0.946739454538639,0.958351728931497,5071.67779511723,342.461997230393
2025-04-07,0.004,4800,0.885496457940658,0.889375153510784,5071.67779511723,295.594544439871
2025-04-07,0.004,4850,0.829858582456679,0.840094631003662,5071.67779511723,250.666287536408
2025-04-07,0.004,4875,0.802176496091425,0.812878349698634,5071.67779511723,228.599942860963
2025-04-07,0.004,4900,0.776534806083339,0.786615658745452,5071.67779511723,207.080550864343
2025-04-07,0.004,4925,0.752912510671806,0.763377377608374,5071.67779511723,186.307003450101
2025-04-07,0.004,4950,0.732096130106494,0.742908718840938,5071.67779511723,166.428469525343
2025-04-07,0.004,4970,0.718172505896341,0.728565491901409,5071.67779511723,151.3013207307
